RALEY J D,Jason Raley,3.759535,2.4,2669,30,2009,2017,23,2646,4.4,ED,INT,,,,,,
MORGAN M L,Morgan Gainer,3.758097,4.1,1408,137,2010,2022,346,1062,3.4,CNCSP,INT,,,,,,
POTOSKI M,Dan Montello,3.757689,3.6,1281,154,2011,2024,0,1281,3.1,ESM,,,,,,,
KOEGEL R L,Robert L. Koegel,3.756645,2.2,1550,25,2009,2017,29,1521,4.3,CNCSP,ED,,,,,,
COLSON G W,Steven Gaulin,3.755764,3.4,2342,314,2009,2020,2338,4,3.6,ES,,,,,,,
STEINKELLNER,Cheri Steinkellner,3.747503,1.6,4145,33,2010,2022,228,3917,4.8,FAMST,FLMST,INT,LIT,,,,
KRUT R M,Robert Krut,3.741498,2.5,2858,74,2009,2024,231,2627,5.0,LIT,W&L,WRIT,,,,,
TYLER C M,Claudia Tyler,3.741208,2.1,6273,27,2009,2024,1449,4824,4.9,ART,BIOL,EEMB,ENV,ESM,INT,MCDB,
STRATTON E C,Ellen McCracken,3.741206,4.2,1376,56,2009,2024,911,465,1.5,EEMB,ENV,,,,,,
HALADYNA J J,Javier Birchenall,3.73908,3.7,1131,110,2009,2019,567,564,2.4,MUS,,,,,,,
VALLIS D L,Roy Vallis,3.73852,1.7,784,43,2009,2014,0,784,4.7,WRIT,,,,,,,
PLANTINGA A,Aaron Belkin,3.734548,3.1,851,89,2013,2024,0,851,4.2,ECON,ESM,,,,,,
COSTELLO C J,Crisjoe Joseph,3.730293,3.7,1469,326,2009,2024,0,1469,4.1,ECON,ESM,,,,,,
JIMERSON S R,Scott Price,3.72348,3.4,2368,364,2009,2024,119,2249,4.6,CNCSP,INT,,,,,,
STUNKEL M C,Dan Montello,3.722682,3.6,604,154,2009,2015,0,604,3.1,DANCE,THTR,,,,,,
BARIL D J,Dolly Mullin,3.71678,3.5,1031,351,2019,2023,1031,0,4.1,ES,,,,,,,
CUNNINGHAM S,Scott Price,3.715375,3.4,787,364,2018,2021,787,0,4.6,ES,,,,,,,
WESTMACOTT B,Briana Westmacott,3.708067,3.3,1438,28,2013,2024,158,1280,4.3,INT,LING,,,,,,
SMALL A L,Amy Small,3.70481,3.8,894,21,2016,2024,382,512,3.8,LING,,,,,,,
SHERWOOD T P,Timothy Sherwood,3.699636,2.5,1100,21,2009,2024,0,1100,4.8,CMPSC,ECE,,,,,,
KRYDER E A,Leeann Kryder,3.699033,2.1,1965,28,2010,2021,242,1723,4.3,ENV,INT,WRIT,,,,,
BERMUDEZ S,Silvia Bermudez,3.698679,3.1,2422,35,2010,2024,494,1928,4.1,C,INT,LAIS,SPAN,,,,
HIRSCH S A,Sarah Hirsch,3.697264,2.6,2193,23,2012,2024,27,2166,5.0,ENGL,INT,WRIT,,,,,
MCHUGH P,Patrick McHugh,3.693346,2.3,3186,29,2009,2024,195,2991,4.8,INT,WRIT,,,,,,
POOT-HERRERA,Sara Poot-Herrera,3.687071,3.0,1369,33,2009,2024,0,1369,3.1,SPAN,,,,,,,
LUBACH D W,Don Lubach,3.684572,1.7,5166,44,2010,2019,294,4872,4.3,ED,,,,,,,
HUK P M,Peter Huk,3.684384,1.9,3330,40,2009,2024,32,3298,4.9,INT,WRIT,,,,,,
CONRAD P T,Phill Conrad,3.678315,2.3,4782,70,2010,2024,583,4199,5.0,CMPSC,CMPSCCS,CMPSCW,CMPTGCS,INT,,,
MOULTON S M,Scott Price,3.673333,3.4,735,364,2019,2024,0,735,4.6,ART,,,,,,,
ERNST B C,Brian Ernst,3.67296,2.3,1250,25,2012,2024,0,1250,5.0,WRIT,,,,,,,
MCCLAIN K L,Katia McClain,3.669917,1.8,2646,32,2009,2023,0,2646,4.4,C,RUSS,SLAV,,,,,
CABRANES-GRAN,Leo Cabranes-Grant,3.66634,2.6,1123,27,2010,2024,33,1090,4.0,C,INT,SPAN,THTR,,,,
PILAFIAN C,Christopher McAuley,3.663965,2.5,1135,72,2009,2021,0,1135,4.4,DANCE,,,,,,,
SREDNICKI M,Dolly Mullin,3.663271,3.5,746,351,2011,2023,0,746,4.1,PHYS,,,,,,,
TILMAN G D,Steven Gaulin,3.661661,3.4,939,314,2013,2024,0,939,3.6,ESM,,,,,,,
CASTELLA-CABE,Francesc Castella,3.6585,2.3,1000,24,2019,2023,13,987,4.9,MATH,,,,,,,
JAMIESON A E,Amy Jamieson,3.657137,2.2,29874,83,2009,2024,17465,12409,3.3,ES,ESS,INT,,,,,
VANDERPOOL J,Jennifer Vanderpool,3.654313,2.9,1136,29,2010,2024,8,1128,2.8,ART,ARTST,,,,,,
