Name,RMP_name,GPA,Difficulty,Students,RMP_Ratings,First,Last,Years,PNP,Letter,RMP_rating,Departments,,,,,,
HUISGEN-ZIMME,Birge Huisgen-Zimmerman,2.719876,3,971,49,2009,2024,15,90,881,4.1,MATH,,,,,,
GHOSH B,Bishnupriya Ghosh,3.414615,2.1,2737,41,2009,2024,15,41,2696,3.9,ENGL,FAMST,GLOBL,INT,W&L,,
BIRNIR B,Bjorn Birnir,3.35755,3,2563,62,2012,2024,12,0,2563,2.3,MATH,,,,,,
BOULEY B A,Brad Bouley,3.425731,2.7,2258,41,2019,2024,5,49,2209,4.7,HIST,INT,,,,,
MAJOR B N,Brenda Major,2.915773,3.3,3170,49,2010,2022,12,133,3037,3,PSY,,,,,,
DONNELLY B,Brian Donnelly,3.355361,2.6,5708,39,2009,2024,15,13,5695,4.6,ENGL,INT,,,,,
ERNST B C,Brian Ernst,3.67296,2,1250,25,2012,2024,12,0,1250,4.8,WRIT,,,,,,
WAINWRIGHT B,Brian Wainwright,3.100738,3.4,5688,106,2016,2024,8,0,5688,3,PSTAT,,,,,,
WESTMACOTT B,Briana Westmacott,3.708067,3,1438,28,2013,2024,11,158,1280,3.8,INT,LING,,,,,
ERICKSON B L,Brice Erickson,3.079059,2.7,8481,175,2009,2023,14,55,8426,4.3,CLASS,GREEK,INT,LATIN,,,
COGGINS B L,Bridget  Coggins,2.956105,3.6,2023,50,2015,2024,9,0,2023,2.7,POL,,,,,,
BIMBER B,Bruce Bimber,3.031561,3.7,1768,74,2009,2024,15,0,1768,4,POL,,,,,,
LIPSHUTZ B H,Bruce Lipshutz,3.474192,4,1732,39,2009,2023,14,0,1732,4,CHEM,,,,,,
TIFFNEY B H,Bruce Tiffney,3.046524,3.1,1539,35,2010,2023,13,243,1296,4.6,ART,BIOL,EARTH,EEMB,GEOL,INT,MUS
SYLVESTER B M,Bryanna Sylvester,2.501353,3.4,7984,336,2020,2024,4,30,7954,3.6,CHEM,INT,,,,,
FIORINA C P,Camilla Fiorina,3.401082,2,1663,28,2011,2024,13,0,1663,4.9,ITAL,,,,,,
WAID C J,Candace Waid,3.377372,3,3120,73,2010,2023,13,0,3120,3.1,ENGL,INT,,,,,
CONVERSE C W,Caren Converse,3.585061,1.9,2142,36,2009,2019,10,0,2142,4.8,ED,WRIT,,,,,
MEINHART C,Carl Meinhart,3.253414,3.5,1904,21,2009,2024,15,76,1828,4.6,ME,,,,,,
LANSING C L,Carol Lansing,3.159747,3.1,3001,71,2009,2024,15,0,3001,3.6,HIST,ME,,,,,
PRESS C M,Carol Press,3.231201,1.9,19070,184,2010,2023,13,0,19070,3.6,DANCE,THTR,,,,,
WALSH C,Casey Walsh,3.176616,2.3,9408,167,2009,2024,15,0,9408,3.3,ANTH,LAIS,,,,,
NESCI C,Catherine Nesci,3.510337,2.7,1248,27,2010,2024,14,0,1248,4.2,C,FR,GER,,,,
PFAFF C E,Catherine Pfaff,2.825511,3.9,1027,39,2015,2018,3,0,1027,3.8,MATH,,,,,,
BUSBY C,Cathy Busby,3.090382,2.4,1258,30,2009,2014,5,77,1181,3.6,EARTH,GEOL,,,,,
MENDEZ S C,Cecilia Mendez,2.750629,4.3,2307,58,2009,2024,15,14,2293,2,HIST,INT,LAIS,,,,
ROBINSON C J,Cedric Robinson,3.163939,3.5,782,28,2009,2015,6,0,782,3.5,BL,POL,,,,,
KOC C K,Cetin Kaya Koc,3.350602,2.2,3571,26,2009,2020,11,87,3484,4.3,CMPSC,CMPSCCS,CMPTGCS,MATH,,,
GARFINKLE C G,Charlene Garfinkle,3.524546,2.2,1817,25,2011,2023,12,0,1817,4.1,ARTHI,,,,,,
AKEMANN C A,Charles Akemann,2.613122,3.8,6371,221,2009,2024,15,13,6358,2.2,MATH,,,,,,
MULLIN C R,Charles Mullin,2.860916,3.8,4759,106,2009,2021,12,137,4622,2.5,COMM,,,,,,
STUART C,Charles Stuart,2.937631,3.8,2203,32,2009,2023,14,0,2203,2.6,ECON,,,,,,
QIN C Z,Cheng-Zhong Qin,3.020478,3.9,3765,47,2010,2024,14,0,3765,2.5,ECON,,,,,,
STEINKELLNER,Cheri Steinkellner,3.747503,1.5,4145,33,2010,2022,12,228,3917,4.6,FAMST,FLMST,INT,LIT,,,
SHINAGAWA C,Chikako Shinagawa,3.575113,2,1547,37,2009,2020,11,0,1547,5,JAPAN,,,,,,
HAYES C S,Chris Hayes,3.113879,3.6,3725,22,2009,2024,15,1,3724,3.1,BMSE,MCDB,,,,,
NEWFIELD C J,Chris Newfield,3.359486,2.4,2488,40,2011,2020,9,0,2488,3.8,ENGL,,,,,,
HERRERA ORTIZ,Christian Herrera,2.536126,3.7,2256,42,2016,2018,2,0,2256,1.9,PSY,,,,,,
VENEGAS C,Christina Venegas,3.238839,3.4,1671,23,2011,2024,13,215,1456,2.4,FAMST,FLMST,,,,,
BERNT C M,Christopher Bernt,2.955443,3.7,15057,68,2016,2024,8,16,15041,2.9,CHEM,,,,,,
STEPHENS C C,Christopher Cody Stephens,3.178195,3.6,1064,34,2014,2019,5,0,1064,2.8,HIST,WRIT,,,,,
LOPEZ C,Christopher Lopez,3.080728,3.7,742,24,2018,2020,2,0,742,2.5,MATH,,,,,,
MCAULEY C,Christopher McAuley,3.257422,2.5,4305,72,2009,2024,15,0,4305,4.3,BL,HIST,,,,,
OGRAIN C M,Christopher Ograin,2.950828,2.7,3624,54,2010,2024,14,104,3520,4.3,ED,MATH,,,,,
BENELLI C A,Cindy Benelli,3.123042,2.9,11097,175,2010,2024,14,0,11097,2.8,ECON,,,,,,
LEVAILLANT C,Claire Levaillant,3.902693,2.3,854,27,2011,2014,3,0,854,2.7,MATH,,,,,,
MOSER C H,Claudia  Moser,3.193167,2.9,4493,55,2015,2024,9,0,4493,3.8,ARTHI,ARTHIW,INT,WRIT,,,
TYLER C M,Claudia Tyler,3.741208,1.9,6273,27,2009,2024,15,1449,4824,4.8,ART,BIOL,EEMB,ENV,ESM,INT,MCDB
CAMPAGNARI C,Claudio Campagnari,3.234245,3,2853,38,2010,2024,14,0,2853,3.3,INT,PHYS,,,,,
FOGU C,Claudio Fogu,3.242777,3.3,3551,54,2009,2024,15,140,3411,3.5,HIST,INT,ITAL,,,,
NALL C M,Clayton Nall,3.121267,3.8,1105,34,2020,2024,4,0,1105,3.1,INT,POL,,,,,
HARMON C J,Coby Harmon,2.830422,3.1,9516,164,2009,2024,15,558,8958,3.6,ECON,,,,,,
REYES C A,Corinna Reyes,3.118371,2.5,1154,41,2009,2011,2,0,1154,3.8,LAIS,POL,,,,,
COTICH C,Craig Cotich,3.149761,2.9,2514,44,2009,2024,15,292,2222,4.3,INT,WRIT,,,,,
RAWLINGS C M,Craig Rawlings,3.075687,2.2,2875,33,2011,2015,4,0,2875,4.8,SOC,,,,,,
JOSEPH C A,Crisjoe Joseph,2.498505,3.7,20206,326,2013,2024,11,0,20206,4.1,CHEM,ENV,,,,,
MARTIN C L,Crystal Martin,2.967894,4.3,1277,24,2011,2024,13,1,1276,2.8,ASTRO,PHYS,,,,,
DAVIS C W,Cynthia Davis,2.876694,2.1,605,21,2012,2015,3,0,605,4.1,COMM,,,,,,
FELANDO C L,Cynthia Felando,2.576666,3.7,4127,89,2010,2023,13,0,4127,3,FAMST,FLMST,,,,,
KAPLAN C S,Cynthia Kaplan,2.955613,4,1345,25,2010,2023,13,0,1345,2.6,POL,,,,,,
STOHL C,Cynthia Stohl,3.287052,3.3,2371,31,2009,2024,15,9,2362,3.9,COMM,,,,,,
LANE D S,Dan Lane,3.506644,2.7,2393,37,2019,2024,5,313,2080,4.9,COMM,INT,,,,,
LINZ D G,Dan Linz,3.598208,2.6,3906,40,2010,2024,14,17,3889,3.6,COMM,INT,,,,,
LUNA D A,Dan Luna,2.868364,3.1,7207,145,2012,2019,7,108,7099,4.5,EARTH,,,,,,
KORMAN D Z,Daniel Korman,3.073042,3,3179,38,2017,2023,6,57,3122,4.3,INT,PHIL,,,,,
KURIN D S,Danielle Kurin,3.572892,3.2,937,32,2013,2021,8,0,937,4.7,ANTH,,,,,,
GUAN D,Daoxiong Guan,3.563203,1.8,2329,28,2009,2024,15,0,2329,4.6,CHIN,,,,,,
ROBERTS D A,Dar Roberts,2.764626,3.6,1470,25,2011,2024,13,17,1453,4.5,GEOG,INT,,,,,
FELDWINN D L,Darby Feldwinn,2.350535,4.2,8509,211,2010,2024,14,206,8303,3.1,CHEM,ED,ENV,,,,
LONG D D,Darren Long,2.563555,3.4,1778,85,2010,2023,13,36,1742,3.5,MATH,,,,,,
COOPER D,Daryl Cooper,3.152738,2.6,15156,985,2009,2024,15,492,14664,4,INT,MATH,,,,,
VALENTINE D L,Dave Valentine,3.067057,3.2,2137,48,2009,2024,15,36,2101,3.1,BIOL,EARTH,EEMB,GEOL,MARSC,,
CLEVELAND D A,David Cleveland,3.201348,3.8,1335,22,2009,2018,9,94,1241,3.4,ANTH,ENV,GEOG,INT,,,
HARRIS-MOORE,David Harris,3.468985,2.9,2689,51,2011,2021,10,0,2689,2.5,INT,WRIT,,,,,
KOHL D M,David Kohl,2.810864,2.7,718,59,2010,2016,6,0,718,4.6,MCDB,,,,,,
LEA D W,David Lea,3.088994,2.1,2853,45,2009,2024,15,96,2757,4.3,EARTH,ESM,GEOL,INT,,,
LOW D A,David Low,2.995409,2.9,2788,35,2009,2024,15,1,2787,4,BMSE,MCDB,,,,,
MOAK D,David Moak,3.494915,2.6,4248,86,2019,2024,5,319,3929,4,C,FR,GLOBL,HIST,INT,ITAL,
MOKRISKI D A,David Mokriski,3.098307,3.1,1831,26,2017,2024,7,0,1831,4,PHIL,,,,,,
PAUL D C,David Paul,3.329995,3,2097,25,2010,2024,14,0,2097,3.8,MUS,,,,,,
SHERMAN D A,David Sherman,2.916214,3.1,4570,72,2009,2024,15,32,4538,3.6,INT,PSY,,,,,
STUART D D,David Stuart,2.939914,3.5,2786,45,2010,2024,14,167,2619,3.7,INT,PHYS,,,,,
WALKER D S,David Walker,3.386639,3.2,1669,38,2014,2024,10,0,1669,4.4,RG,,,,,,
PAI H I,Dawn Holmes,2.920076,2.7,1051,148,2009,2018,9,0,1051,3.4,ANTH,EACS,HIST,KOR,,,
FYGENSON D K,Deborah Fygenson,3.435002,4,4154,67,2009,2024,15,124,4030,2,BMSE,INT,PHYS,,,,
