Name,RMP_name,GPA,Difficulty,Students,RMP_Ratings,First,Last,Years,PNP,Letter,RMP_rating,Departments,,,,,,
PONCE G,Gustavo Ponce,2.854448,3.4,3541,96,2009,2024,15,57,3484,2.6,INT,MATH,,,,,
MARCUSE H,Harold Marcuse,3.246873,2.5,3902,61,2009,2024,15,13,3889,3,HIST,INT,,,,,
NELSON H,Harry Nelson,3.326833,2.9,1364,24,2010,2024,14,10,1354,4.2,PHYS,,,,,,
BADAMO H A,Heather Badamo,3.080994,3.4,1589,34,2015,2024,9,0,1589,2.4,ARTHI,,,,,,
CENICEROS H,Hector Ceniceros,2.93762,3.1,3336,70,2009,2024,15,0,3336,3.3,ECE,MATH,ME,,,,
MORALES H L,Helen Morales,3.289277,2.2,5530,64,2009,2022,13,66,5464,4.1,CLASS,GREEK,INT,,,,
TASCHIAN H J,Helen Taschian,3.202591,3.3,3474,46,2014,2024,10,2,3472,3.6,ART,,,,,,
GARDNER H K,Helene Gardner,3.342679,3.2,5225,28,2011,2022,11,1252,3973,4,ENV,,,,,,
SANDER H C,Henry Sander,2.862769,4,2557,100,2009,2014,5,349,2208,3.6,ECON,,,,,,
BERNSTEIN H J,Hilary Bernstein,2.980011,3.2,1836,44,2009,2024,15,0,1836,4,FR,HIST,,,,,
YU H,Hongbo Yu,3.481362,2.9,1116,23,2021,2024,3,5,1111,3.5,PSY,,,,,,
GILES H,Howard Giles,3.389932,2.2,1480,21,2009,2021,12,1,1479,4.5,COMM,,,,,,
WINANT H,Howard Winant,3.102734,2.6,4646,143,2010,2021,11,0,4646,2.5,SOC,,,,,,
LEE H,Hua Lee,3.12662,3.4,1713,29,2010,2024,14,291,1422,3.1,ECE,INT,,,,,
CHEN H,Huachen Chen,3.522422,2.9,999,25,2019,2021,2,0,999,3.8,MATH,,,,,,
MIELE I,Ilene Miele,3.371611,1.9,3688,25,2009,2020,11,0,3688,4.2,WRIT,,,,,,
TALAMANTEZ I,Ines Talamantez,3.471421,2,2005,58,2009,2019,10,49,1956,2.8,ENV,INT,RG,,,,
BANKS I,Ingrid Banks,2.145043,4.6,2078,90,2010,2024,14,0,2078,2.7,BL,,,,,,
MCGEE J S,J. Sears McGee,2.717043,3.3,1285,40,2009,2019,10,9,1276,3.9,HIST,INT,,,,,
DONELAN J H,James Donelan,3.548634,2.7,3405,93,2009,2024,15,424,2981,3.9,C,ENGL,INT,LIT,W&L,WRIT,
MCNAMARA J P,James McNamara,3.356645,3.2,1204,24,2018,2024,6,0,1204,4.8,FAMST,,,,,,
POTTER W J,James Potter,3.022151,3.7,2018,54,2009,2024,15,0,2018,2.1,COMM,,,,,,
RONEY J R,James Roney,2.832138,3.6,3709,49,2009,2024,15,47,3662,3.4,PSY,,,,,,
TENER J E,James Tener,3.049578,2.7,1186,29,2015,2018,3,0,1186,4.4,MATH,,,,,,
DURAN R P,Jane Duran,3.928943,2.3,1116,23,2009,2023,14,0,1116,3.8,ED,,,,,,
DURAN J M,Jane Duran,3.509268,2.3,669,23,2009,2019,10,0,669,3.8,BL,,,,,,
MIZRAHI J L,Janet Mizrahi,3.358421,3.8,2001,43,2009,2021,12,18,1983,3.7,WRIT,,,,,,
BOBO J,Jaqueline Bobo,3.227083,2.6,3445,97,2009,2024,15,0,3445,2.7,FEMST,,,,,,
HENDERSON J G,Jarett Henderson,3.419958,3.4,1889,34,2018,2024,6,25,1864,3.4,HIST,INT,,,,,
RALEY J D,Jason Raley,3.759535,2.4,2669,30,2009,2017,8,23,2646,4.4,ED,INT,,,,,
VAN DER VEEN,Jatila van der Veen,3.321297,3.5,1249,29,2010,2020,10,83,1166,1.7,ASTRO,INT,PHYS,,,,
BIRCHENALL J,Javier Birchenall,2.836573,3.7,9302,109,2009,2024,15,0,9302,2.4,ECON,,,,,,
READ DE ALANI,Javier Read de Alaniz,3.056639,3.9,3005,22,2010,2024,14,1,3004,4.7,CHEM,,,,,,
SCHULTZ J M,Jean Schultz,3.204415,3,2378,21,2010,2023,13,0,2378,3.6,FR,,,,,,
DELOMBARD J M,Jeannine Delombard,2.701127,4.6,1153,21,2015,2024,9,0,1153,2.4,ENGL,RG,,,,,
MOEHLIS J M,Jeff Moehlis,3.273347,2.4,2994,25,2009,2024,15,31,2963,4.3,CMPSC,CMPSCW,ECE,ENGR,ME,PHYS,
HANSON J L,Jeffrey Hanson,3.491052,3,5845,45,2009,2024,15,293,5552,4.8,LING,WRIT,,,,,
HOELLE J A,Jeffrey Hoelle,3.206869,2.4,5066,72,2013,2024,11,35,5031,3.9,ANTH,ENV,INT,,,,
STOPPLE J,Jeffrey Stopple,3.395508,3.6,4074,80,2010,2023,13,1822,2252,3.1,INT,MATH,,,,,
MARTIN J A,Jen Martin,3.326256,2.9,9133,81,2014,2024,10,147,8986,3.6,ANTH,ENV,HIST,,,,
SORKIN JENNI,Jenni Sorkin,3.455371,3,2467,41,2013,2023,10,12,2455,2.8,ART,ARTHI,,,,,
HAMILTON J M,Jennifer Hamilton,3.069237,2.4,2503,25,2009,2015,6,338,2165,4.1,ES,ESS,,,,,
HOLT J,Jennifer Holt,2.951951,3.5,2537,48,2010,2024,14,9,2528,4.1,FAMST,FLMST,,,,,
HULME J L,Jennifer Hulme,2.652033,3.5,4476,48,2014,2024,10,48,4428,4,ECON,,,,,,
VANDERPOOL J,Jennifer Vanderpool,3.654313,2.7,1136,29,2010,2024,14,8,1128,2.7,ART,ARTST,,,,,
DOUGLASS J H,Jeremy Douglass,3.353361,2.6,1934,26,2012,2024,12,0,1934,3.4,ENGL,INT,,,,,
WHITE J S,Jeremy White,3.346728,3,4370,54,2009,2024,15,1,4369,3.7,ART,ARTHI,ARTST,,,,
CHEN S C,Jia-Ching Chen,3.483267,4.3,2767,32,2009,2024,15,0,2767,1.4,CHIN,,,,,,
SU J,Jianwen Su,3.174602,3.8,1319,30,2010,2024,14,31,1288,2,CMPSC,INT,,,,,
PAN J,Jiayin Pan,3.037413,3.4,1438,42,2018,2021,3,0,1438,3.6,MATH,,,,,,
ROMEO J A,Jim Romeo,2.947686,2.7,1923,22,2009,2014,5,0,1923,4.4,ESS,,,,,,
SHEA J,Joan Shea,3.174413,3.2,766,35,2010,2024,14,14,752,3.6,CHEM,PHYS,,,,,
HOLLAND J,Jocelyn Holland,3.486256,2.3,1397,26,2009,2017,8,0,1397,3.6,C,GER,,,,,
ENDERS J,Jody Enders,3.157579,3.3,1082,44,2010,2024,14,7,1075,2.9,C,ENGL,FR,INT,THTR,WRIT,
ROTHMAN J H,Joel Rothman,2.940885,3.3,2688,24,2009,2024,15,8,2680,4.3,BMSE,MCDB,,,,,
COTTLE J,John Cottle,3.183737,2.8,1322,22,2010,2024,14,126,1196,4.3,EARTH,GEOL,,,,,
FORAN J F,John Foran,3.822767,2.2,4300,45,2010,2023,13,231,4069,4.6,ENV,INT,SOC,,,,
GREATHOUSE J,John Greathouse,3.500442,2.9,10414,134,2010,2023,13,7358,3056,4.8,ENGR,TMP,,,,,
HARTMAN J L,John Hartman,2.784882,3.8,14559,150,2010,2024,14,143,14416,2.4,ECON,INT,PSTAT,,,,
HELMS J A,John Helms,2.630389,3.4,1234,31,2012,2015,3,0,1234,3.8,MATH,,,,,,
HSU S J,John Hsu,3.230162,3.1,2785,43,2010,2023,13,95,2690,3.3,PSTAT,,,,,,
LATTO J G,John Latto,3.282498,2.1,15958,102,2009,2024,15,1048,14910,4.8,BIOL,EEMB,INT,,,,
LEW G J,John Lew,3.060642,3.5,3956,33,2009,2024,15,106,3850,3.8,BMSE,INT,MCDB,,,,
MAJEWSKI J D,John Majewski,3.096979,2.6,2615,72,2010,2024,14,19,2596,4.7,HIST,INT,,,,,
MOHR J,John Mohr,3.470338,1.5,1507,35,2009,2018,9,49,1458,3.9,CMPSC,INT,SOC,,,,
TOOBY J,John Tooby,3.239008,2.6,2279,52,2009,2023,14,0,2279,3.1,ANTH,,,,,,
WOOLLEY J T,John Woolley,2.871927,3.3,1749,36,2011,2019,8,0,1749,2.8,POL,,,,,,
MCCAMMOND J P,Jon McCammond,3.300477,2.4,1259,30,2010,2024,14,84,1175,4.5,MATH,,,,,,
SNYDER J R,Jon Snyder,3.050055,3.4,905,31,2010,2019,9,0,905,4.2,C,ITAL,RG,,,,
SONSTELIE J,Jon Sonstelie,2.518766,3.6,8185,168,2009,2016,7,29,8156,3.4,ECON,INT,,,,,
BALKIND J M,Jonathan Balkind,3.640537,3.3,745,24,2021,2024,3,36,709,3.5,CMPSC,CMPTGCS,INT,,,,
SCHOOLER J W,Jonathan Schooler,2.836177,3.3,6540,57,2009,2024,15,53,6487,3.5,PSY,,,,,,
SCHETTLER J C,Jordan Schettler,3.29134,1.9,843,21,2012,2015,3,0,843,4.8,MATH,,,,,,
BLANKHOLM J L,Joseph Blankholm,3.312397,3.2,1339,45,2016,2024,8,0,1339,4.5,RG,,,,,,
CAMPO J E,Juan Campo,3.138004,3.2,1513,41,2010,2024,14,328,1185,3.3,INT,MES,RG,,,,
AKUDINOBI J,Jude Akudinobi,3.431292,2.3,5634,83,2009,2024,15,0,5634,3.3,BL,C,,,,,
DALE J E,Judith Dale,3.172145,1.9,1217,27,2009,2011,2,0,1217,4,ESS,,,,,,
MORSE J C,Julia Morse,3.063946,3.2,1115,22,2019,2024,5,0,1115,4.2,POL,,,,,,
SWENSON J S,Julie Swenson,2.814791,3.1,10628,85,2014,2024,10,163,10465,4.3,PSTAT,,,,,,
KELZ J M,Justin Kelz,3.14482,3.6,2577,56,2017,2019,2,0,2577,3.3,MATH,,,,,,
RUSSAK J A,Justin Russak,2.775389,3.3,5725,76,2010,2013,3,0,5725,3,CHEM,,,,,,
KRISTIANSEN K,Kai Kristiansen,3.320572,3.2,1609,25,2019,2022,3,334,1275,3.1,PHYS,,,,,,
KAHN K,Kalju Kahn,2.454974,4.6,1950,102,2009,2024,15,1,1949,3.1,CHEM,MCDB,,,,,
CASTEELS K L,Karel Casteels,3.18166,2.8,3495,42,2010,2024,14,520,2975,4.3,MATH,,,,,,
MYERS K K,Karen Myers,3.152606,2.4,3530,30,2009,2024,15,44,3486,4.4,COMM,INT,,,,,
SZUMLINSKI K,Karen Szumlinski,3.166942,3.7,3996,78,2010,2024,14,18,3978,4.5,MCDB,PSY,,,,,
MAYS K C,Kasie Mays,3.413433,3.1,603,25,2020,2022,2,0,603,2.7,PSY,,,,,,
FORD K C,Katerina Ford,2.877511,3.9,1374,46,2019,2024,5,0,1374,1.9,ED,PSY,,,,,
SHATSKIKH E,Katherine Shatskikh,2.66269,4,2171,53,2013,2020,7,0,2171,1.8,PSTAT,,,,,,
BRUHN K,Kathleen Bruhn,2.969695,3.2,3478,87,2009,2024,15,0,3478,3.4,INT,POL,,,,,
FOLTZ K R,Kathy Foltz,3.601458,3.4,4595,46,2009,2022,13,163,4432,5,BIOL,INT,MCDB,,,,
MARSHALL K,Kathy Marshall,3.165292,3.5,3129,47,2018,2022,4,0,3129,2.5,ECON,,,,,,
PATTERSON K A,Kathy Patterson,3.157699,2.7,2156,23,2010,2023,13,52,2104,4,INT,WRIT,,,,,
MCCLAIN K L,Katia McClain,3.669917,1.8,2646,32,2009,2023,14,0,2646,4.3,C,RUSS,SLAV,,,,
BAILLARGEON K,Katie Baillargeon,3.624482,2.2,3378,51,2010,2024,14,64,3314,4.7,INT,MUS,WRIT,,,,
COBURN K M,Katie Coburn,3.635452,2.8,2753,37,2021,2024,3,0,2753,3.4,PSTAT,,,,,,
YOUNG K,Kay Young,3.412416,3.7,1635,28,2009,2021,12,0,1635,4.3,ENGL,,,,,,
CLARKE K,Keith Clarke,3.180719,2.6,2199,33,2009,2021,12,27,2172,3.5,GEOG,,,,,,
BEDARD K L,Kelly Bedard,2.925888,3.7,7969,100,2010,2024,14,17,7952,3,ECON,,,,,,
THOMASSON K M,Kelly Thomasson,3.39847,3.7,4183,80,2015,2024,9,0,4183,2.3,EEMB,ENV,,,,,
GOODEARL K,Ken Goodearl,2.884879,2.6,3128,74,2009,2024,15,0,3128,3.8,MATH,,,,,,
MILLETT K C,Ken Millett,2.707306,3.5,2272,46,2009,2020,11,0,2272,2.8,INT,MATH,,,,,
HASSEMER K S,Kendall Hassemer,3.400517,2.3,2904,24,2014,2016,2,0,2904,3.8,ESS,,,,,,
HILTNER K C,Kenneth (Ken) Hiltner,3.202946,2.8,14904,296,2010,2024,14,114,14790,3.8,ENGL,ENV,INT,,,,
ANDERSON KE B,Kevin Anderson,3.216874,2.9,2649,21,2010,2023,13,0,2649,3.6,SOC,,,,,,
BURK K T,Kevin Burk,3.363453,4.5,695,63,2020,2024,4,0,695,3,CMPSC,,,,,,
FALVEY K T,Kevin Falvey,2.67799,3.3,1881,62,2009,2024,15,0,1881,2.9,PHIL,,,,,,
PLAXCO K W,Kevin Plaxco,3.023849,3.5,1216,21,2009,2023,14,0,1216,4.3,BIOE,BMSE,CHEM,ENGR,MCDB,,
WHITEHEAD K A,Kevin Whitehead,3.507446,3.1,1061,28,2018,2023,5,23,1038,4.2,INT,SOC,,,,,
FULBECK L K,Kip Fulbeck,3.492425,3,2891,50,2010,2024,14,652,2239,4,ART,ARTST,INT,,,,
BHAVNANI K,Kum Kum Bhavnani,3.57435,2.3,1115,31,2011,2024,13,0,1115,4.6,GLOBL,SOC,,,,,
CHAPMAN K L,Kyle Chapman,2.668927,3.7,1519,47,2012,2016,4,0,1519,2.2,MATH,,,,,,
RATNER K G,Kyle Ratner,3.337418,2.2,1991,24,2015,2024,9,11,1980,4.5,PSY,,,,,,
JANSMA L L,Laura Jansma,3.272316,2.9,4396,60,2009,2016,7,0,4396,3.8,COMM,,,,,,
KALMAN L,Laura Kalman,3.324056,2.8,7154,107,2009,2022,13,0,7154,4.5,HIST,,,,,,
MARQUES-PASCU,Laura Marques-Pascual,2.944164,3.9,13751,24,2009,2024,15,0,13751,3.1,PORT,SPAN,,,,,
FREEMAN L A,Laurie Freeman,3.410898,2.8,2505,36,2012,2024,12,0,2505,2.3,POL,,,,,,
MONAHAN L,Laurie Monahan,3.065977,3.3,3480,88,2010,2021,11,0,3480,3.1,ARTHI,,,,,,
OAKS L M,Laury Oaks,3.307494,3,1935,40,2010,2023,13,41,1894,4.4,FEMST,INT,,,,,
COSMIDES L,Leda Cosmides,3.093671,2.8,3160,38,2009,2024,15,80,3080,3.5,PSY,,,,,,
KRYDER E A,Leeann Kryder,3.699033,2.1,1965,28,2010,2021,11,242,1723,4.3,ENV,INT,WRIT,,,,
RUPP L J,Leila Rupp,3.240023,2.5,1719,26,2010,2020,10,17,1702,4.1,FEMST,,,,,,
CABRANES-GRAN,Leo Cabranes-Grant,3.66634,2.5,1123,27,2010,2024,14,33,1090,3.7,C,INT,SPAN,THTR,,,
LAVERMAN L E,Leroy Laverman,3.067196,3.2,4975,54,2009,2024,15,656,4319,4.1,CHEM,INT,,,,,
HAMMER L M,Leslie Hammer,3.33021,3,2049,38,2010,2024,14,0,2049,4.4,WRIT,,,,,,
CHAI L,Lihui Chai,2.731227,3.9,1361,25,2014,2018,4,0,1361,2.2,MATH,,,,,,
ZHANG LIMING,Liming Zhang,2.747285,4.2,1013,26,2011,2024,13,0,1013,2,CHEM,,,,,,
HOBBS-MORGAN,Lindsay Hobbs,2.975095,1.6,1586,169,2019,2024,5,0,1586,4.6,POL,,,,,,
BARRAGE L,Lint Barrage,2.901053,4.5,1140,76,2021,2022,1,0,1140,2.1,ECON,,,,,,
SEPUNARU L,Lior Sepunaru,3.029426,4,853,62,2018,2024,6,0,853,4.4,BMSE,CHEM,,,,,
HAJJAR L,Lisa Hajjar,3.589265,2.3,4760,68,2010,2024,14,23,4737,4.5,INT,SOC,,,,,
JACOBSON L,Lisa Jacobson,3.17136,3.2,2500,43,2010,2024,14,0,2500,4.2,HIST,,,,,,
MAASS L E,Lisa Maass,2.901581,2.3,4492,61,2009,2018,9,0,4492,4.5,ECON,,,,,,
COKLIN L,Ljiljana Coklin,3.445683,3.1,2791,38,2009,2024,15,77,2714,3.8,INT,WRIT,,,,,
MOOSBRUGGER L,Lorelei Moosbrugger,3.12875,3.3,1760,42,2010,2023,13,0,1760,4.3,ENV,POL,,,,,
ROBERTS L S,Luke Roberts,3.26373,2.4,4086,63,2009,2024,15,34,4052,4.1,HIST,INT,JAPAN,,,,
THEOGARAJAN L,Luke Theogarajan,3.025284,2.7,2203,49,2010,2024,14,202,2001,4.1,BIOL,ECE,,,,,
CAMPO M,Magda Campo,3.227021,2.9,1917,30,2009,2024,15,0,1917,4.4,RG,,,,,,
KUNDU M,Manny Kundu,2.746145,2.9,1660,24,2010,2021,11,0,1660,3,ANTH,ENV,,,,,
BECKER M,Marc Becker,3.012092,3.7,918,42,2022,2023,1,0,918,2.9,MATH,,,,,,
KAPICKA M,Marek Kapicka,2.998566,3.7,1046,31,2010,2016,6,0,1046,2.5,ECON,,,,,,
NASH M B,Marguerite Nash,2.994739,3.2,2338,53,2010,2016,6,0,2338,3.2,GLOBL,GPS,POL,,,,
CRICKETTE M E,Maria Crickette,3.273594,2.4,1920,25,2011,2024,13,0,1920,4.7,ITAL,,,,,,
BUENO CACHADI,Maribel Bueno,3.284667,3.3,2511,54,2009,2024,15,996,1515,3.5,INT,MATH,,,,,
WEBB M T,Marie Webb,3.463467,4.5,646,25,2019,2024,5,77,569,2.3,LING,,,,,,
GARCIA-CERVER,Mario Garcia,2.894596,2.3,2313,82,2009,2024,15,25,2288,3.8,MATH,,,,,,
LABATUT M A,Marion Labatut,3.360497,2.6,1529,22,2011,2024,13,0,1529,5,FR,,,,,,
KRUVAND M,Marjorie Kruvand,3.452326,3.5,602,21,2018,2021,3,0,602,2.1,WRIT,,,,,,
MASLAN M J,Mark Maslan,3.158289,3.2,2618,51,2009,2024,15,0,2618,3.4,ENGL,,,,,,
MEADOW M A,Mark Meadow,3.287903,2.9,2546,34,2010,2024,14,0,2546,3.9,ARTHI,INT,,,,,
ORLANDO M D,Mark Orlando,3.447298,2.5,5218,49,2014,2024,10,0,5218,4.4,ESS,INT,,,,,
RODWELL M J,Mark Rodwell,2.88995,3.5,1602,25,2009,2024,15,0,1602,2.6,ECE,,,,,,
STEVENSON-MIC,Mark Stevenson,3.84743,4.2,681,302,2018,2024,6,0,681,2.1,EDS,ESM,,,,,
SCHARLEMANN M,Martin Scharlemann,2.780156,3.9,1280,85,2009,2018,9,16,1264,2.9,MATH,,,,,,
BUCHOLTZ M H,Mary Bucholtz,3.58074,1.8,2648,23,2009,2024,15,31,2617,4.6,CH,ED,INT,LING,,,
FURNER M O,Mary Furner,2.734626,3.3,696,32,2010,2017,7,0,696,3.1,HIST,,,,,,
HEGARTY M,Mary Hegarty,3.16862,3.1,2116,38,2010,2024,14,54,2062,3,INT,PSY,,,,,
BERNSTEIN M M,Mashey Bernstein,3.158123,3.9,1151,58,2010,2023,13,0,1151,3.8,FAMST,FLMST,RG,WRIT,,,
PORTER M J,Matt Porter,3.564632,2.5,7289,277,2013,2024,11,303,6986,4.4,INT,MATH,,,,,
RIOUX M E,Matt Rioux,3.010129,3,2093,31,2013,2024,11,0,2093,4.5,EARTH,,,,,,
WHITTLE M D,Matt Whittle,2.946292,2.1,2953,32,2010,2018,8,0,2953,4.7,ANTH,SOC,,,,,
CREMERS M H,Matthea Cremers,3.405237,2.4,1394,63,2009,2024,15,0,1394,3,ANTH,ENV,SOC,,,,
BUONI M J,Matthew Buoni,3.146789,2.7,2024,38,2011,2016,5,0,2024,4.5,CMPSC,MATH,ME,,,,
HANSER M F,Matthew Hanser,2.831842,3.2,2324,36,2009,2024,15,95,2229,4,INT,PHIL,,,,,
MACGILLIVRAY,Maureen MacGillivray,3.614035,2.7,798,108,2019,2020,1,0,798,3.8,FEMST,,,,,,
BOSCAGLI M,Maurizia Boscagli,3.47075,3.2,3747,58,2010,2024,14,287,3460,3.4,C,ENGL,INT,W&L,,,
MANALIS M S,Melvyn Manalis,2.831786,2.9,3231,29,2010,2017,7,0,3231,3.7,ENV,,,,,,
ANYIKA M,Mercy Anyika,2.557734,4,3407,68,2021,2024,3,0,3407,3.2,CHEM,,,,,,
CHIKOWERO M,Mhoze Chikowero,3.266305,2.9,1567,27,2010,2024,14,0,1567,3.2,BL,HIST,INT,,,,
GURVEN M D,Michael Gurven,2.885185,3.9,999,23,2010,2024,14,0,999,3.3,ANTH,,,,,,
JOCHIM M A,Michael Jochim,2.872606,2.8,752,23,2009,2017,8,0,752,4.3,ANTH,,,,,,
NAVA M M,Michael Nava,2.812207,3.2,4391,70,2013,2019,6,0,4391,2.3,PSTAT,,,,,,
RESCORLA M A,Michael Rescorla,2.479779,3.3,816,59,2009,2016,7,0,816,3.5,PHIL,,,,,,
STOHL M S,Michael Stohl,3.308954,3.3,1530,28,2010,2024,14,0,1530,2.6,COMM,,,,,,
BROWN M,Michelle Brown,2.96709,4.4,1024,26,2015,2023,8,11,1013,2.5,ANTH,INT,,,,,
DELGADO HELLE,Miguel Delgado Helleseter,2.645908,4.4,2627,54,2013,2023,10,0,2627,2.1,ECON,,,,,,
ECKSTEIN M P,Miguel Eckstein,3.377169,3,2720,32,2009,2024,15,299,2421,4.1,PSY,,,,,,
PUTINAR M,Mihai Putinar,3.101521,4,2433,82,2009,2024,15,107,2326,2,MATH,,,,,,
BOWERS M T,Mike Bowers,2.99134,4.4,2425,32,2010,2024,14,0,2425,1.6,CHEM,,,,,,
COSTANZO C,Mike Costanzo,3.270821,2.5,4068,79,2010,2018,8,0,4068,3.7,CMPSC,,,,,,
JOINER M B,Mike Joiner,3.112331,1.8,1038,23,2010,2014,4,0,1038,4.8,MUS,WRIT,,,,,
WILTON M B,Mike Wilton,3.266394,3.4,10013,55,2015,2024,9,2518,7495,5,INT,MCDB,,,,,
METZGER M J,Miriam Metzger,2.588123,3.5,2989,65,2010,2024,14,0,2989,3.5,COMM,INT,,,,,
EL-SOUSSI M,Moh El Soussi,3.371833,2.6,671,25,2011,2018,7,0,671,3.3,PHYS,,,,,,
MADISON O F,Monica Orozco,2.894356,3.5,1630,32,2010,2015,5,0,1630,2.5,BL,,,,,,
MORGAN M L,Morgan Gainer,3.758097,4.1,1408,137,2010,2022,12,346,1062,3.4,CNCSP,INT,,,,,
MORGAN M,Morgan Gainer,3.59673,4.1,1315,137,2009,2024,15,0,1315,3.4,INT,THTR,,,,,
GAINER M J,Morgan Gainer,2.942848,4.1,21226,137,2013,2024,11,323,20903,3.4,CHEM,INT,,,,,
RAVEN M R,Morgan Raven,3.311277,3.8,1339,29,2019,2024,5,0,1339,3.1,EARTH,,,,,,
MYUNG JIYOUN,Myung Jiyoun,2.591029,4,1360,41,2017,2020,3,0,1360,2.8,PSTAT,,,,,,
CLITANDRE N T,Nadege Clitandre,3.171947,3.6,2260,22,2011,2024,13,0,2260,2.2,GLOBL,,,,,,
COLLINS N L,Nancy Collins,3.415954,2.3,1730,35,2010,2024,14,82,1648,4.8,PSY,,,,,,
SALMON N U,Nathan Salmon,2.360048,3.4,1254,32,2010,2024,14,0,1254,3.1,PHIL,,,,,,
SCHLEY N B,Nathan Schley,3.286263,3.3,3152,102,2015,2024,9,247,2905,2.5,MATH,,,,,,
SVADLENAK N D,Nathan Svadlenak,2.765949,4.1,1671,53,2018,2024,6,77,1594,2.2,CHEM,,,,,,
NARANG N,Neil Narang,3.250962,3,1768,50,2013,2024,11,0,1768,4.8,POL,,,,,,
SCHNEIDER N J,Nick Schneider,3.197947,2.8,3897,31,2010,2023,13,0,3897,3.8,ECON,,,,,,
TINGLE W N,Nick Tingle,3.34314,2,605,26,2010,2013,3,0,605,4.5,WRIT,,,,,,
JURKOWSKI N W,Nicolas Jurkowski,3.430923,2.1,3913,23,2011,2024,13,0,3913,4.1,MUS,,,,,,
ALBADA N A,Nicole Albada,3.457738,3,3625,47,2018,2024,6,72,3553,4.7,INT,PSY,,,,,
WARWICK N L,Nicole Warwick,3.504568,2.1,2868,29,2013,2024,11,0,2868,4.8,WRIT,,,,,,
BENNAHUM D,Ninotchka Bennahum,3.171833,3.2,3813,45,2010,2024,14,0,3813,2.1,DANCE,DANCEW,THTR,,,,
FRIEDKIN N E,Noah Friedkin,3.330506,2.2,1226,25,2010,2021,11,0,1226,2.9,SOC,,,,,,
DUNBAR N E,Norah Dunbar,3.464499,2.7,2907,22,2015,2024,9,63,2844,4,COMM,INT,,,,,
REICH N O,Norbert Reich,3.223347,4.1,2133,25,2010,2024,14,391,1742,2.5,BMSE,CHEM,INT,,,,
KHOURY N N,Nuha Khoury,2.7867,3.6,1594,54,2010,2024,14,25,1569,1.9,ARTHI,INT,,,,,
WALLING O W,Olivia Walling,3.12,4.3,1685,33,2009,2019,10,0,1685,2.2,ENGR,WRIT,,,,,
DESCHENES O,Olivier Deschenes,2.861056,3.4,2840,38,2010,2024,14,0,2840,4.1,ECON,EDS,ESM,,,,
BLAES O M,Omer Blaes,3.171384,3.5,1279,34,2011,2024,13,8,1271,4.6,PHYS,,,,,,
EGECIOGLU O,Omer Egecioglu,2.990201,3.9,1643,40,2010,2020,10,105,1538,2.5,CMPSC,CMPSCCS,CMPTGCS,INT,,,
DIGESER P,Paige Digeser,2.780739,3.9,2653,68,2010,2022,12,29,2624,3.8,INT,POL,,,,,
COHEN P C,Patricia Cohen,2.947126,3.4,1131,21,2009,2015,6,0,1131,3.4,FEMST,HIST,,,,,
FUMERTON M P,Patricia Fumerton,3.151502,3,1398,30,2010,2023,13,0,1398,3.9,ENGL,,,,,,
MCCRAY W P,Patrick McCray,3.30432,3.4,1412,43,2010,2024,14,0,1412,4.6,HIST,,,,,,
MCHUGH P,Patrick McHugh,3.693346,2.2,3186,29,2009,2024,15,195,2991,4.6,INT,WRIT,,,,,
AMAR P E,Paul Amar,3.374402,3,2465,40,2011,2023,12,0,2465,3.8,C,GLOBL,INT,,,,
ATZBERGER P J,Paul Atzberger,3.509707,2.7,3688,54,2010,2024,14,49,3639,2.6,INT,MATH,ME,,,,
SONNINO P M,Paul Sonnino,2.690669,3.4,1436,101,2009,2022,13,0,1436,2.8,HIST,INT,,,,,
SPICKARD P R,Paul Spickard,3.212191,3,5701,97,2010,2024,14,274,5427,3.9,AS,HIST,INT,,,,
WACK P W,Paul Wack,3.374919,2.2,2472,26,2010,2019,9,15,2457,4.3,ENV,,,,,,
BRUICE P Y,Paula Bruice,2.455664,3.9,11282,221,2010,2019,9,0,11282,2.9,CHEM,,,,,,
POPESCU P F,Paula Popescu,3.572207,2.9,24708,32,2017,2024,7,0,24708,3.8,PHYS,,,,,,
LIEN P,Pei-Te Lien,2.840556,3,2912,30,2011,2024,13,32,2880,2.6,AS,INT,POL,,,,
ADLER-KASSNER,Peter Adler,3.816129,2.6,961,239,2010,2021,11,459,502,4.8,ED,INT,WRIT,,,,
ALAGONA P S,Peter Alagona,3.522765,2.5,6097,107,2010,2023,13,149,5948,4.6,ENV,HIST,INT,,,,
BLOOM P J,Peter Bloom,3.097878,3.8,1178,25,2010,2024,14,0,1178,2.9,FAMST,FLMST,INT,,,,
GARFIELD P M,Peter Garfield,3.325235,2.9,9269,191,2016,2024,8,0,9269,3.8,MATH,,,,,,
HUK P M,Peter Huk,3.684384,1.6,3330,40,2009,2024,15,32,3298,4.5,INT,WRIT,,,,,
RUPERT P,Peter Rupert,2.609219,3.7,8049,95,2010,2024,14,0,8049,2.8,ECON,,,,,,
STURMAN P C,Peter Sturman,3.306923,3.1,1921,35,2010,2024,14,0,1921,3.5,ARTHI,CHIN,,,,,
VAN KOPPEN P,Petra Van Koppen,2.997028,3.3,51621,248,2009,2022,13,713,50908,4.1,CHEM,,,,,,
BABCOCK P S,Philip Babcock,2.527476,3.5,2777,41,2009,2012,3,0,2777,4.1,ECON,,,,,,
